level,xpToNext,heroHP,heroAttack,normalHP,normalAttack,normalXP,bossHP,bossAttack,bossXP
1,75,120,18,54,8,13,2713,32,315
2,118,139,21.8,59,8.78,16,2944,35.1,369
3,181,158,25.6,64,9.63,18,3194,38.51,424
4,266,177,29.4,69,10.56,20,3466,42.24,478
5,371,196,33.2,75,11.59,23,3760,46.34,533
6,498,215,37,82,12.71,25,4080,50.84,588
7,645,234,40.8,89,13.94,27,4426,55.77,642
8,814,253,44.6,96,15.29,29,4803,61.18,697
9,1003,272,48.4,104,16.78,32,5211,67.11,751
10,1214,291,52.2,113,18.41,34,5654,73.62,806
11,1445,310,56,123,20.19,36,6135,80.76,861
12,1698,329,59.8,133,22.15,39,6656,88.6,915
13,1971,348,63.6,145,24.3,41,7222,97.19,970
14,2266,367,67.4,157,26.65,43,7836,106.62,1024
15,2581,386,71.2,170,29.24,46,8502,116.96,1079
16,2918,405,75,185,32.08,48,9224,128.31,1134
17,3275,424,78.8,201,35.19,50,10008,140.75,1188
18,3654,443,82.6,218,38.6,53,10859,154.41,1243
19,4053,462,86.4,236,42.35,55,11782,169.38,1297
20,4474,481,90.2,256,46.45,57,12783,185.81,1352
21,4915,500,94,278,50.96,60,13870,203.84,1407
22,5378,519,97.8,302,55.9,62,15049,223.61,1461
23,5861,538,101.6,327,61.32,64,16328,245.3,1516
24,6366,557,105.4,355,67.27,66,17716,269.09,1570
25,6891,576,109.2,385,73.8,69,19222,295.2,1625
26,7438,595,113,418,80.96,71,20856,323.83,1680
27,8005,614,116.8,454,88.81,73,22628,355.24,1734
28,8594,633,120.6,492,97.42,76,24552,389.7,1789
29,9203,652,124.4,534,106.87,78,26639,427.5,1843
30,9834,671,128.2,580,117.24,80,28903,468.97,1898
31,10485,690,132,629,128.61,83,31360,514.46,1953
32,11158,709,135.8,682,141.09,85,34025,564.36,2007
33,11851,728,139.6,740,154.78,87,36918,619.1,2062
34,12566,747,143.4,803,169.79,90,40056,679.15,2116
35,13301,766,147.2,871,186.26,92,43460,745.03,2171
36,14058,785,151,945,204.33,94,47154,817.3,2226
37,14835,804,154.8,1026,224.14,96,51163,896.58,2280
38,15634,823,158.6,1113,245.89,99,55511,983.55,2335
39,16453,842,162.4,1208,269.74,101,60230,1078.95,2389
40,17294,861,166.2,1310,295.9,103,65349,1183.61,2444
41,18155,880,170,1422,324.6,106,70904,1298.42,2499
42,19038,899,173.8,1542,356.09,108,76931,1424.37,2553
43,19941,918,177.6,1674,390.63,110,83470,1562.53,2608
44,20866,937,181.4,1816,428.52,113,90565,1714.1,2662
45,21811,956,185.2,1970,470.09,115,98263,1880.36,2717
46,22778,975,189,2138,515.69,117,106615,2062.76,2772
47,23765,994,192.8,2319,565.71,120,115678,2262.85,2826
48,24774,1013,196.6,2516,620.59,122,125510,2482.34,2881
49,25803,1032,200.4,2730,680.78,124,136179,2723.13,2935
50,26854,1051,204.2,2962,746.82,127,147754,2987.27,2990
51,27925,1070,208,3214,819.26,129,160313,3277.04,3045
52,29018,1089,211.8,3488,898.73,131,173940,3594.91,3099
53,30131,1108,215.6,3784,985.9,133,188724,3943.62,3154
54,31266,1127,219.4,4106,1081.54,136,204766,4326.15,3208
55,0,1146,223.2,4455,1186.45,138,222171,4745.78,3263
